name,description
CarInfEv@NT3BLQ1,Have you had or do you have any of the following: myocardial infarction (heart attack)?
CarAngEv@NT3BLQ1,Have you had or do you have any of the following: angina pectoris (chest pain)?
ApoplEv@NT3BLQ1,Have you had or do you have any of the following: stroke/brain haemorrhage?
CarDisOtEv@NT3BLQ1,Have you had or do you have any of the following: other heart disease?
CarFaiEv@NT3BLQ1,Have you had or do you have any of the following: heart faillure?
DiaEv@NT3BLQ1,Have you had or do you have any of the following: diabetes?
HypeGluEv@NT3BLQ1,Has it ever been verified that you had high blood sugar (hyperglycaemia)?
DiaFam1@NT3BLQ1,"Do your parents, siblings or children have, or have they had diabetes?"
DiaFam2@NT3BLQ1,"Have your parents’ siblings, your cousins or either of your grandparents been diagnosed with diabetes (type 1 or type 2)?"
WaistCirc@NT3BLM,Waist circumference
HipCirc@NT3BLM,Hip circumference
Hei@NT3BLM,Height at screening
Wei@NT3BLM,Weight at screening
BPArmCirc@NT3BLM,Arm circumference at blood pressure measurement
BPCuff@NT3BLM,Cuff size
BPEquN@NT3BLM,Dinamap equipment number
BPTmLMe@NT3BLM,Hours since last meal at blood pressure measurement
BPSyst1@NT3BLM,Systolic blood pressure measurement 1
BPDias1@NT3BLM,Diastolic blood pressure measurement 1
Puls1@NT3BLM,Pulse measurement 1
BPSyst2@NT3BLM,Systolic blood pressure measurement 2
BPDias2@NT3BLM,Diastolic blood pressure measurement 2
Puls2@NT3BLM,Pulse measurement 2
BPSyst3@NT3BLM,Systolic blood pressure measurement 3
Puls3@NT3BLM,Pulse measurement 3
BPDias3@NT3BLM,Diastolic blood pressure measurement 3
CountAg01@NT3BLI,What country did you live in when you were one year old?
WorSect@NT3BLI,"For your main occupation, which branch do you work in?"
WorTit@NT3BLI,What is/was the name of your main occupation (professional title)?
MuniciAg01@NT3BLI,Which municipality did you live in when you turned one year old?
PregCu@NT3BLI,Are you pregnant now?
DelivLChiY@NT3BLI,When you last pregnant (year)?
DelivEsTm@NT3BLI,"If you are pregnant now, when is your due date?"
WorCu@NT3BLI,Do you have a job?
WorP@NT3BLI,"If you work part-time, what percent do you work?"
WorPre@NT3BLI,"If age above 70 years, have you previously had gainful employment?"
WorStoY@NT3BLI,If >70 years old or not employed; what was the last year that you had paid work?
Farm@NT3BLI,Do you live or work on a farm?
SickLY@NT3BLI,Have you been on sick leave in the past 12 months?
SickAbsDu@NT3BLI,"If you have been on sick leave in the past 12 months, how long in total were you on sick leave?"
SickSCLY@NT3BLI,Sick leave without medical certificate from doctor
SickMDLY@NT3BLI,Sick leave medical certificate from doctor
WorShift@NT3BLI,"Do you work shifts, at night or are on call?"
WorAffil@NT3BLI,Are you a salaried employee or a self-employed person?
WorStudCu@NT3BLI,Are you a student?
WorHome@NT3BLI,Is it your job to be resposible for the home (housewife/househusband)?
PregY@NT3BLI,"If you have been pregnant, when was the last time you were pregnant (year)?"
DelivEsTmDK@NT3BLI,"If you are pregnant now, when is your due date? Don't know"
FoFruF@NT3BLQ1,How often do you normally eat fruits and berries?
FoVegF@NT3BLQ1,How often do you normally eat vegetables?
ActMor30MinDy@NT3BLQ1,Do you have at least 30 minutes of physical activity daily at work or in your leisure time?
BPMeasTm@NT3BLM,Time of blood pressure measurement
BSSSTTm@NT3BLM,Time of bloodsample SST
BPMap1@NT3BLM,Mean arterial pressure measurement 1
BPMap2@NT3BLM,Mean arterial pressure measurement 2
BPMap3@NT3BLM,Mean arterial pressure measurement 3
BPMedEv@NT3BLQ1,Do you take or have you taken medication for high blood pressure?
BPDiasMn23@NT3BLM,Mean diastolic blood pressure measurement 2 and 3
BPSystMn23@NT3BLM,Mean systolic pressure measurement 2 and 3
SeChol@NT3BLM,Cholesterol
SeGlu@NT3BLM,Non-fasting glucose
SeCrea@NT3BLM,Serum creatinin
SeHDLChol@NT3BLM,HDL-cholesterol
SeµCRP@NT3BLM,Serum micro C-reactive protein
SeTrig@NT3BLM,Triglycerides
WorTmFull@NT3BLI,Do you have full-time work or part-time work?
WorTm40HWy@NT3BLI,Do you usually work more than 40 hours a week?
ScanDat@NT2BLQ2,Date of scanning
PartDatD@NT2BLQ2,Day questionnaire was answered
PartDatMo@NT2BLQ2,Month questionnaire was answered
PartDatY@NT2BLQ2,Year questionnaire was answered
MuniciAg01@NT2BLQ2,"What town did you live in when you were 1 year old? If you were not living in Norway, write the country instead of the town."
WorUnsk@NT2BLQ2,"Semi-skilled, unskilled worker {What kind of paid work do you do?}"
WorSkil@NT2BLQ2,"Skilled worker, artisan, foreman {What kind of paid work do you do?}"
WorCler@NT2BLQ2,"Non-professional occupation (shop, office, public service) {What kind of paid work do you do?}"
WorSpec@NT2BLQ2,"Lower professional occupation (e.g. nurse, technician, teacher) {What kind of paid work do you do?}"
WorRespo@NT2BLQ2,Management position in public or private enterprise {What kind of paid work do you do?}
WorDriv@NT2BLQ2,"Driver, chauffeur {What kind of paid work do you do?}"
WorFarm@NT2BLQ2,Farmer or forest owner {What kind of paid work do you do?}
WorFisher@NT2BLQ2,Fisherman {What kind of paid work do you do?}
WorProf@NT2BLQ2,"Self-employed professional (e.g. dentist, lawyer) {What kind of paid work do you do?}"
WorTrad@NT2BLQ2,Self-employed businessperson {What kind of paid work do you do?}
WorNot@NT2BLQ2,Have not been gainfully employed {What kind of paid work do you do?}
WorUnskSps@NT2BLQ2,"Semi-skilled, unskilled worker {What kind of paid work (if any) does your spouse do?}"
WorSkilSps@NT2BLQ2,"Skilled worker, artisan, foreman {What kind of paid work (if any) does your spouse do?}"
WorClerSps@NT2BLQ2,"Non-professional occupation (shop, office, public service) {What kind of paid work (if any) does your spouse do?}"
WorSpecSps@NT2BLQ2,"Spouse/partner - Lower professional occupation (e.g. nurse, technician, teacher) {What kind of paid work (if any) does your spouse do?}"
WorRespoSps@NT2BLQ2,Management position in public or private enterprise {What kind of paid work (if any) does your spouse do?}
WorDrivSps@NT2BLQ2,"Driver, chauffeur {What kind of paid work (if any) does your spouse do?}"
WorFarmSps@NT2BLQ2,Farmer or forest owner {What kind of paid work (if any) does your spouse do?}
WorFisherSps@NT2BLQ2,Fisherman {What kind of paid work (if any) does your spouse do?}
WorProfSps@NT2BLQ2,"Self-employed professional (e.g. dentist, lawyer) {What kind of paid work (if any) does your spouse do?}"
WorTradSps@NT2BLQ2,Self-employed businessperson {What kind of paid work (if any) does your spouse do?}
WorNotSps@NT2BLQ2,Have not been gainfully employed {What kind of paid work (if any) does your spouse do?}
SickSCLY@NT2BLQ2,"During the last 12 months, have you been on sick leave without a medical certificate?"
SickMorLY@NT2BLQ2,"During the last 12 months, have you been on sick leave with a medical certificate?"
